ell,Wqq,Wellnu,ell,gamma,gamma
ell,Wqq,Wqq,ell,ell,ell
ell,Wqq,Wqq,ell,gamma,gamma
ell,Zqq,Zellell,ell,gamma,gamma
ell,ell,ell,ell,gamma,gamma
ell,ell,ell,ell,g,g
ell,ell,ell,ell,q,q
ell,gamma,gamma,ell,gamma,gamma
ell,gamma,gamma,ell,g,g
ell,gamma,gamma,ell,q,q
ell,Wqq,Wqq,ell,ell,ell
ell,ell,ell,ell,q,q
ell,gamma,gamma,ell,ell,ell
ell,gamma,gamma,ell,q,q
ell,g,g,ell,ell,ell
ell,q,q,ell,ell,ell
nu,q,q,ell,ell,ell
nu,q,q,ell,gamma,gamma
nu,q,q,ell,ell,ell
ell,ell,ell,ell,q,q
ell,ell,nu,ell,Wqq,Wqq
ell,ell,nu,ell,gamma,gamma
ell,ell,nu,ell,g,g
ell,ell,nu,ell,q,q
ell,q,q,ell,ell,ell
ell,q,q,ell,gamma,gamma
ell,ell,nu,ell,q,q
ell,q,q,ell,ell,ell
ell,ell,nu,ell,q,q
